City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Talakan,RU,50.3167,130.3667,-3.32,85,100,7.61,overcast clouds
80,Thompson,CA,55.7435,-97.8558,-14.8,76,90,9.22,light snow
81,Lima,PE,-12.0432,-77.0282,77.0,83,0,8.05,clear sky
82,Morros,BR,-9.4467,-46.3003,70.12,64,0,1.74,clear sky
83,Mahanoro,MG,-19.9,48.8,82.33,69,45,4.74,scattered clouds
84,Tuktoyaktuk,CA,69.4541,-133.0374,-22.0,76,1,11.5,clear sky
85,Chuy,UY,-33.6971,-53.4616,69.55,96,4,5.12,clear sky
86,Coquimbo,CL,-29.9533,-71.3436,62.6,82,0,4.61,clear sky
87,Hilo,US,19.7297,-155.09,71.6,83,40,8.05,moderate rain
88,Caravelas,BR,-17.7125,-39.2481,72.99,86,29,1.54,scattered clouds
89,Ostrovnoy,RU,68.0531,39.5131,1.09,91,83,11.36,broken clouds
90,Pamanukan,ID,-6.2842,107.8106,83.82,72,99,11.34,light rain
91,Georgetown,MY,5.4112,100.3354,86.0,66,20,6.91,few clouds
92,Mar Del Plata,AR,-38.0023,-57.5575,75.0,88,0,5.75,clear sky
93,Mackay,AU,-21.15,149.2,84.2,61,6,16.11,clear sky
94,Oume,JP,35.7839,139.2431,42.8,87,75,11.5,light rain
95,Evensk,RU,61.95,159.2333,-16.6,80,97,9.04,overcast clouds
96,Pisco,PE,-13.7,-76.2167,71.6,73,0,6.91,clear sky
97,Carutapera,BR,-1.195,-46.02,78.31,83,62,7.43,broken clouds
98,Carndonagh,IE,55.25,-7.2667,29.14,96,76,5.91,broken clouds
99,Yar-Sale,RU,66.8333,70.8333,-38.9,80,13,4.16,few clouds
100,Kununurra,AU,-15.7667,128.7333,86.0,89,100,6.91,overcast clouds
101,Floro,NO,61.5996,5.0328,37.4,81,75,13.8,broken clouds
102,Eyl,SO,7.9803,49.8164,74.62,64,92,20.09,overcast clouds
103,Narsaq,GL,60.9167,-46.05,28.4,29,0,25.32,clear sky
104,Nome,US,64.5011,-165.4064,26.6,86,90,10.36,light snow
105,Castro,BR,-24.7911,-50.0119,62.78,97,100,5.57,moderate rain
